combo,replication,revenue,perfect,difference
3,49,92232,106284,0.13221181
4,0,44472,71472,0.377770316
4,1,98868,110106,0.102065283
4,2,62682,87768,0.285821712
4,3,97818,109050,0.102998624
4,4,72414,96948,0.253063498
4,5,45912,73176,0.372581174
4,6,98724,109638,0.099545778
4,7,85008,103122,0.175656019
4,8,74262,97758,0.240348616
4,9,112956,115020,0.017944705
4,10,98004,109122,0.101885963
4,11,77418,99330,0.220598007
4,12,100374,110652,0.092885804
4,13,75036,98232,0.236134864
4,14,92826,106800,0.130842697
4,15,102462,111126,0.077965553
4,16,98688,110358,0.105746751
4,17,64662,89652,0.278744479
4,18,80730,100944,0.200249643
4,19,45198,73176,0.382338472
4,20,101028,110736,0.087667967
4,21,118422,119298,0.007342956
4,22,89028,105204,0.153758412
4,23,104928,111786,0.061349364
4,24,67542,91608,0.262706314
4,25,118110,118110,0.0
4,26,117774,118602,0.006981333
4,27,77442,99522,0.221860493
4,28,120000,120000,0.0
4,29,67728,92496,0.267773742
4,30,90348,105348,0.142385237
4,31,45378,71304,0.363598115
4,32,73410,97290,0.245451742
4,33,38814,62208,0.376060957
4,34,82134,101610,0.191674048
4,35,86010,103638,0.170092051
4,36,95748,108618,0.118488648
4,37,49032,76020,0.355011839
4,38,89808,105636,0.149835283
4,39,83292,102060,0.183891828
4,40,47748,74604,0.359980698
4,41,105402,112548,0.06349291
4,42,84684,103074,0.178415507
4,43,63462,88656,0.284177044
4,44,66666,91428,0.270836068
4,45,86100,103656,0.169367909
4,46,44904,71964,0.376021344
4,47,117828,117828,0.0
4,48,88182,104574,0.156750244
4,49,89502,105450,0.151237553
5,0,81750,100902,0.189807932
5,1,100590,109908,0.084779998
5,2,61116,86472,0.293227866
5,3,88470,104178,0.150780395
5,4,77586,99294,0.218623482
5,5,119226,120000,0.00645
5,6,61044,85968,0.289921831
5,7,82596,101364,0.185154493
5,8,77016,98586,0.218793744
5,9,107400,112524,0.045536952
5,10,115590,116292,0.006036529
5,11,78246,98922,0.209013162
5,12,110772,113910,0.027548064
5,13,54738,80772,0.322314663
5,14,48642,74868,0.350296522
5,15,60234,84828,0.289927854
5,16,74646,97698,0.235951606
5,17,57606,83136,0.307087182
5,18,117984,118650,0.005613148
5,19,86376,103650,0.166657019
5,20,38226,60348,0.366573872
5,21,63336,88428,0.283756276
5,22,89166,104226,0.144493696
5,23,116676,118704,0.017084513
5,24,107478,112788,0.047079477
5,25,65226,90252,0.277290254
5,26,83628,102468,0.183862279
5,27,80172,100374,0.20126726
5,28,86070,102888,0.163459296
5,29,68316,93216,0.267121524
5,30,95496,107862,0.114646493
5,31,120000,120000,0.0
5,32,76596,98568,0.222912101
5,33,79782,100290,0.204486988
5,34,87126,103554,0.158641868
5,35,118374,120000,0.01355
5,36,113574,114804,0.010713912
5,37,84432,102132,0.173305135
5,38,91194,105540,0.135929505
5,39,42336,66984,0.36796847
5,40,78066,99252,0.213456656
5,41,120000,120000,0.0
5,42,90360,104838,0.138098781
5,43,100572,110052,0.086141097
5,44,54612,79632,0.314195298
5,45,66078,90696,0.271434242
5,46,25986,40788,0.362900853
5,47,103362,110598,0.065426138
5,48,94446,108306,0.12797075
5,49,85416,103122,0.17169954
6,0,91812,104826,0.124148589
6,1,88098,103824,0.151467869
6,2,119766,120000,0.00195
6,3,55740,81108,0.312768161
6,4,80874,99660,0.188500903
6,5,66414,89316,0.256415424
6,6,109218,113526,0.037947254
6,7,91356,104832,0.128548535
6,8,105858,110094,0.038476211
6,9,111162,113562,0.02113383
6,10,101694,109776,0.07362265
6,11,64584,88896,0.273488121
6,12,93090,106512,0.12601397
6,13,100524,108588,0.074262349
6,14,63780,88584,0.280005419
6,15,82314,100500,0.180955224
6,16,67554,89628,0.246284643
6,17,119502,120000,0.00415
