combo,replication,revenue,perfect,difference
11,4,118266,120000,0.01445
11,6,117918,120000,0.01735
11,10,116772,120000,0.0269
11,19,110478,113310,0.024993381
11,28,118086,120000,0.01595
11,46,118290,120000,0.01425
12,2,107202,110796,0.032437994
12,7,104850,110166,0.048254452
12,13,115002,117822,0.02393441
12,23,107688,111258,0.03208758
12,24,118800,120000,0.01
12,25,114606,116406,0.01546312
12,27,114006,117642,0.030907329
12,38,118770,120000,0.01025
12,39,115356,118236,0.024358064
13,2,116292,119580,0.027496237
13,4,116586,120000,0.02845
13,16,113784,114642,0.007484168
13,17,109218,112104,0.025743952
13,18,110730,113328,0.022924608
13,20,107880,111276,0.03051871
13,22,117348,120000,0.0221
13,23,108444,112086,0.032492907
13,30,112512,113574,0.009350732
13,31,107466,111666,0.037612165
13,38,111912,112704,0.007027257
13,42,116802,119262,0.020626855
13,43,115818,117450,0.013895275
13,46,113520,114360,0.007345226
13,49,107970,111198,0.029029299
14,2,117300,120000,0.0225
14,18,113106,115392,0.019810732
14,21,111384,112812,0.012658228
14,22,113952,116790,0.024300026
14,29,108924,111594,0.023926018
14,37,110724,113322,0.022925822
14,41,106182,109614,0.031309869
14,42,115938,118476,0.02142206
14,43,111870,115332,0.030017688
14,44,119616,120000,0.0032
14,47,110268,112476,0.019630855
14,48,111186,113424,0.019731274
15,2,105066,110574,0.049812795
15,5,101862,107064,0.048587761
15,13,106668,111354,0.042082009
15,20,118506,120000,0.01245
15,21,105642,110220,0.041535112
15,23,103560,108600,0.04640884
15,25,114564,119022,0.03745526
15,28,106272,111672,0.048355899
15,31,119718,120000,0.00235
15,32,103128,107730,0.042717906
15,35,105234,110520,0.047828447
15,43,113358,118866,0.046337893
15,44,109128,114792,0.049341418
15,45,108564,113802,0.046027311
15,46,117270,120000,0.02275
15,47,105450,110016,0.041503054
16,2,110988,112440,0.012913554
16,6,114900,116784,0.016132347
16,8,110532,111894,0.012172234
16,11,113268,115458,0.018967936
16,14,107688,110418,0.02472423
16,22,113076,113904,0.007269279
16,28,114792,116352,0.013407591
16,33,115548,116028,0.004136932
16,41,113400,114534,0.00990099
16,42,113220,114258,0.009084703
16,45,112752,114078,0.011623626
17,0,106008,110544,0.041033435
17,1,112752,115104,0.020433695
17,4,112716,116262,0.030500077
17,5,120000,120000,0.0
17,8,115176,118278,0.026226348
17,10,116628,120000,0.0281
17,11,109104,112446,0.029720933
17,13,111696,114138,0.021395153
17,18,115296,120000,0.0392
17,23,103812,108936,0.047036792
17,27,108468,111492,0.027123022
17,28,111564,115170,0.031310237
17,29,109176,112092,0.026014345
17,32,110736,114324,0.031384486
17,37,106848,110526,0.033277238
17,40,116160,120000,0.032
17,42,103224,108588,0.049397724
17,48,117204,120000,0.0233
17,49,108336,110748,0.021779174
18,0,106800,110106,0.030025612
18,1,106008,109890,0.035326235
18,7,106800,111378,0.04110327
18,14,106056,111270,0.046858992
18,15,107016,110634,0.032702424
18,19,105888,110022,0.037574303
18,20,113244,118860,0.047248864
18,21,103956,108594,0.042709542
18,29,103272,108594,0.049008232
18,31,110844,114804,0.034493572
18,32,110640,115266,0.040133257
18,34,109200,113982,0.041953993
18,37,117696,120000,0.0192
18,38,118548,120000,0.0121
18,42,109332,114966,0.049005793
18,46,108204,112110,0.034840781
20,1,116544,120000,0.0288
20,4,117672,120000,0.0194
20,8,109788,113454,0.032312655
20,11,107574,112266,0.041793597
20,14,116982,120000,0.02515
20,19,118626,120000,0.01145
20,21,112974,114498,0.013310276
20,23,118176,120000,0.0152
20,28,109116,113106,0.035276643
20,36,117006,120000,0.02495
20,39,107958,112902,0.04379019
21,4,116220,117114,0.007633588
21,7,117258,120000,0.02285
21,8,116874,120000,0.02605
21,12,117318,120000,0.02235
21,15,119556,120000,0.0037
21,18,114834,114834,0.0
21,20,114522,115038,0.004485474
21,21,113424,114492,0.009328163
