combo,replication,revenue,perfect,difference
61,29,109044,113934,0.042919585
61,32,111936,117726,0.049181999
61,35,107004,111894,0.043702075
61,40,108744,113910,0.045351593
61,42,116112,120000,0.0324
61,44,115788,120000,0.0351
61,45,104160,109080,0.04510451
62,1,111510,113670,0.019002375
62,2,111696,116736,0.043174342
62,12,101874,106620,0.044513225
62,18,109062,110268,0.01093699
62,23,111900,113514,0.01421851
62,28,103878,107844,0.036775342
62,29,111432,112662,0.010917612
62,31,102654,107874,0.048389788
62,32,111354,112482,0.010028271
62,37,112116,115434,0.028743698
62,38,108330,109356,0.009382201
62,39,111888,114426,0.022180274
62,41,112476,115440,0.025675676
62,42,111282,115026,0.032549163
62,44,108786,110538,0.015849753
62,47,106524,109218,0.024666264
62,49,112536,115812,0.028287224
63,0,107862,110634,0.025055589
63,12,105402,107958,0.023675874
63,14,105252,108600,0.030828729
63,18,113832,117480,0.031052094
63,20,102204,106854,0.043517323
63,24,116484,120000,0.0293
63,25,106182,108810,0.024152192
63,27,112200,116670,0.038313191
63,31,108582,112170,0.031987162
63,32,113454,117144,0.031499693
63,33,103068,107826,0.044126648
63,34,107136,109884,0.02500819
63,37,104064,107376,0.030844882
63,43,113616,118692,0.042766151
63,46,106878,109092,0.020294797
64,0,112740,118332,0.04725687
64,3,99978,104496,0.043236105
64,7,101712,107022,0.049615967
64,8,114294,120000,0.04755
64,9,115308,120000,0.0391
64,11,99762,104934,0.049288124
64,17,109476,112974,0.030962876
64,29,98064,102852,0.046552328
64,30,103062,107244,0.038995189
64,31,108090,112608,0.040121483
64,34,99372,103884,0.04343306
64,40,110298,115740,0.047019181
64,43,109290,114342,0.04418324
65,1,102900,108012,0.047328075
65,4,101376,105996,0.04358655
65,11,103740,108156,0.040829912
65,14,101904,106686,0.044823126
65,19,100476,105414,0.046843873
65,29,102108,106548,0.041671359
65,43,117468,120000,0.0211
66,0,110580,111786,0.010788471
66,4,108810,110100,0.011716621
66,10,110130,112896,0.024500425
66,11,110046,111354,0.011746323
66,13,102012,106848,0.045260557
66,18,109800,111372,0.014114858
66,20,105114,108654,0.032580485
66,25,104370,107106,0.025544787
66,27,104046,107574,0.032796029
66,30,108996,111498,0.022439864
66,33,109974,114612,0.040466967
66,36,114744,120000,0.0438
66,37,116664,120000,0.0278
66,43,110508,113226,0.024005087
66,47,102366,107034,0.04361231
66,49,107394,109170,0.016268206
67,1,111510,116106,0.039584518
67,3,113586,118962,0.045190901
67,4,102180,105336,0.029961267
67,5,107604,110814,0.028967459
67,7,107640,109758,0.019296999
67,9,111576,114792,0.02801589
67,10,102144,106122,0.037485159
67,11,105150,107934,0.02579354
67,13,103026,107232,0.039223366
67,22,105972,108606,0.024252804
67,25,106440,108684,0.020647013
67,28,107562,110604,0.027503526
67,29,104544,106986,0.022825416
67,32,109746,114774,0.043807831
67,42,108174,110358,0.019790138
67,44,108186,111402,0.028868422
67,46,108828,113040,0.037261146
67,48,111882,116124,0.036529916
68,9,101898,105750,0.036425532
68,14,106962,112404,0.048414647
68,19,108060,112332,0.038030125
68,24,99816,104334,0.043303238
68,26,106308,109638,0.030372681
68,31,100326,104472,0.039685275
68,39,107634,112986,0.047368701
68,42,105552,110682,0.046349
69,0,116040,120000,0.033
69,15,116226,120000,0.03145
71,1,110838,112536,0.015088505
71,4,110412,114660,0.037048666
71,5,109332,114234,0.042911918
71,8,100608,105348,0.044993735
71,9,102120,105828,0.035037986
71,10,102486,106446,0.037201962
71,15,114126,120000,0.04895
71,17,110172,115692,0.047712893
71,24,107076,108294,0.011247161
71,25,109692,112800,0.027553191
71,26,108096,110352,0.020443671
71,29,108870,110442,0.014233715
71,31,108660,110598,0.017522921
71,33,105438,107394,0.018213308
71,34,106272,107748,0.01369863
71,37,107808,112272,0.039760581
71,41,107502,109398,0.017331213
71,43,109134,113646,0.039702233
71,44,110172,114384,0.036823332
71,46,109044,110100,0.009591281
71,47,107970,108618,0.005965862
71,49,105978,107532,0.014451512
72,0,111228,116370,0.044186646
72,3,110592,115602,0.043338351
72,6,99438,103812,0.042133857
72,8,104154,106014,0.017544853
72,10,108066,110472,0.021779274
72,13,108756,112926,0.036926837
72,15,101178,106014,0.045616617
72,16,114240,120000,0.048
72,17,108498,112344,0.034234138
72,20,99324,104280,0.047525892
72,23,108396,112002,0.032195854
72,24,103242,106272,0.028511743
72,25,109974,114396,0.038655198
72,27,106356,108594,0.020608873
72,29,108480,111228,0.024706009
72,32,105114,106986,0.017497617
72,35,108456,111474,0.027073578
72,38,109794,113898,0.036032239
72,40,106626,110046,0.031077913
72,41,104412,106896,0.023237539
72,42,104802,107136,0.021785394
72,43,109104,113364,0.037578067
72,46,104010,106770,0.025849958
72,47,107400,110886,0.031437693
72,48,109050,112158,0.027710908
73,3,100014,104238,0.04052265
73,5,102078,105822,0.035380167
73,9,110124,115620,0.047535029
73,14,104478,108930,0.040870284
73,15,104682,109386,0.043003675
73,27,99222,103614,0.042388094
73,34,114936,120000,0.0422
73,38,116850,120000,0.02625
73,40,104076,109482,0.04937798
73,41,100146,103524,0.032630115
73,45,103464,107376,0.036432722
73,47,105180,110106,0.044738706
74,9,98976,103440,0.043155452
75,1,114612,120000,0.0449
77,0,109632,114816,0.045150502
77,4,108936,113334,0.038805654
77,16,107628,111108,0.031320877
77,17,107028,109206,0.019943959
77,18,109416,113964,0.039907339
77,19,106500,107142,0.005992048
77,20,107508,109788,0.020767297
77,22,106812,110568,0.033970046
77,24,100476,104646,0.039848633
77,25,106716,108990,0.020864299
77,26,107520,108954,0.013161518
77,27,102036,106350,0.040564175
77,28,105408,106926,0.014196734
77,33,106212,107520,0.012165179
77,36,110172,114978,0.041799301
77,39,102516,104982,0.023489741
77,41,107508,108546,0.009562766
77,44,108180,113532,0.047140894
77,47,101496,106080,0.04321267
78,1,108408,113856,0.047849916
78,3,106620,111750,0.04590604
